title,points,link
Astral to Join OpenAI,624 points,https://astral.sh/blog/openai
OpenBSD: PF queues break the 4 Gbps barrier,90 points,https://undeadly.org/cgi?action=article;sid=20260319125859
Juggalo Makeup Blocks Facial Recognition Technology (2019),132 points,https://consequence.net/2019/07/juggalo-makeup-facial-recognition/
The Shape of Inequalities,33 points,https://www.andreinc.net/2026/03/16/the-shape-of-inequalities/
macOS 26 breaks custom DNS settings including .internal,86 points,https://gist.github.com/adamamyl/81b78eced40feae50eae7c4f3bec1f5a
Show HN: Three new Kitten TTS models – smallest less than 25MB,9 points,https://github.com/KittenML/KittenTTS
Consensus Board Game,40 points,https://matklad.github.io/2026/03/19/consensus-board-game.html
Afroman found not liable in defamation case,771 points,https://nypost.com/2026/03/18/us-news/afroman-found-not-liable-in-bizarre-ohio-defamation-case/
Launch HN: Canary (YC W26) – AI QA that understands your code,3 points,https://news.ycombinator.com/item?id=47441629
Oil and gas prices jump after Iran and Israel attack gasfields,44 points,https://www.theguardian.com/business/2026/mar/19/oil-prices-gas-prices-rise-iran-israel-donald-trump
Pretraining Language Models via Neural Cellular Automata,65 points,https://hanseungwook.github.io/blog/nca-pre-pre-training/
"Conway's Game of Life, in real life",269 points,https://lcamtuf.substack.com/p/conways-game-of-life-in-real-life
Afroman Wins Civil Trial over Use of Police Raid Footage in His Music Videos,306 points,https://www.nytimes.com/2026/03/19/us/afroman-trial-lemon-cake-verdict.html
Nvidia greenboost: transparently extend GPU VRAM using system RAM/NVMe,438 points,https://gitlab.com/IsolatedOctopi/nvidia_greenboost
"Eniac, the First General-Purpose Digital Computer, Turns 80",82 points,https://spectrum.ieee.org/eniac-80-ieee-milestone
Gluon: Explicit Performance,14 points,https://www.lei.chat/posts/gluon-explicit-performance/
Hyper-optimized reverse geocoding API,14 points,https://github.com/traccar/traccar-geocoder
Warranty Void If Regenerated,465 points,https://nearzero.software/p/warranty-void-if-regenerated
2% of ICML papers desk rejected because the authors used LLM in their reviews,162 points,https://blog.icml.cc/2026/03/18/on-violations-of-llm-review-policies/
How many branches can your CPU predict?,72 points,https://lemire.me/blog/2026/03/18/how-many-branches-can-your-cpu-predict/
Austin’s surge of new housing construction drove down rents,700 points,https://www.pew.org/en/research-and-analysis/articles/2026/03/18/austins-surge-of-new-housing-construction-drove-down-rents
What if Python was natively distributable?,4 points,https://medium.com/@bzurak/what-if-python-was-natively-distributable-3bfae485a408
LotusNotes,153 points,https://computer.rip/2026-03-14-lotusnotes.html
Stdwin: Standard window interface by Guido Van Rossum [pdf],66 points,https://ir.cwi.nl/pub/5998/5998D.pdf
Ramtrack.eu – RAM Price Intelligence,10 points,https://ramtrack.eu
"Show HN: Duplicate 3 layers in a 24B LLM, logical deduction .22→.76. No training",204 points,https://github.com/alainnothere/llm-circuit-finder
A Preview of Coalton 0.2,20 points,https://coalton-lang.github.io/20260312-coalton0p2/
A sufficiently detailed spec is code,519 points,https://haskellforall.com/2026/03/a-sufficiently-detailed-spec-is-code
"Wander – A tiny, decentralised tool to explore the small web",330 points,https://susam.net/wander/
'Your Frustration Is the Product',226 points,https://daringfireball.net/2026/03/your_frustration_is_the_product
