name,stars,description
opendataloader-project / opendataloader-pdf,"1,394 stars today",PDF Parser for AI-ready data. Automate PDF accessibility. Open-source.
langchain-ai / open-swe,955 stars today,An Open-Source Asynchronous Coding Agent
obra / superpowers,"3,476 stars today",An agentic skills framework & software development methodology that works.
jarrodwatts / claude-hud,"1,851 stars today","A Claude Code plugin that shows what's happening - context usage, active tools, running agents, and todo progress"
unslothai / unsloth,"1,259 stars today","Unified web UI for training and running open models like Qwen, DeepSeek, gpt-oss and Gemma locally."
mobile-dev-inc / Maestro,468 stars today,Painless E2E Automation for Mobile and Web
newton-physics / newton,345 stars today,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists and simulation researchers."
louis-e / arnis,918 stars today,Generate any location from the real world in Minecraft with a high level of detail.
FujiwaraChoki / MoneyPrinterV2,257 stars today,Automate the process of making money online.
gsd-build / get-shit-done,"1,414 stars today","A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude Code by TÂCHES."
shareAI-lab / learn-claude-code,"1,458 stars today","Bash is all you need - A nano claude code–like 「agent harness」, built from 0 to 1"
