title,points,link
Astral to Join OpenAI,1034 points,https://news.ycombinator.com/from?site=astral.sh
Show HN: Three new Kitten TTS models – smallest less than 25MB,217 points,https://news.ycombinator.com/from?site=github.com/kittenml
Google details new 24-hour process to sideload unverified Android apps,183 points,https://news.ycombinator.com/from?site=arstechnica.com
Noq: n0's new QUIC implementation in Rust,90 points,https://news.ycombinator.com/from?site=iroh.computer
An update on Steam / GOG changes for OpenTTD,203 points,https://news.ycombinator.com/from?site=openttd.org
NanoGPT Slowrun: 10x Data Efficiency with Infinite Compute,40 points,https://news.ycombinator.com/from?site=qlabs.sh
Cockpit is a web-based graphical interface for servers,13 points,https://news.ycombinator.com/from?site=github.com/cockpit-project
From Oscilloscope to Wireshark: A UDP Story,30 points,https://news.ycombinator.com/from?site=mattkeeter.com
Anthropic takes legal action against OpenCode,213 points,https://news.ycombinator.com/from?site=github.com/anomalyco
4Chan mocks £520k fine for UK online safety breaches,151 points,https://news.ycombinator.com/from?site=bbc.com
Scaling Karpathy's Autoresearch: What Happens When the Agent Gets a GPU Cluster,71 points,https://news.ycombinator.com/from?site=skypilot.co
OpenBSD: PF queues break the 4 Gbps barrier,160 points,https://news.ycombinator.com/from?site=undeadly.org
Launch HN: Voltair (YC W26) – Drone and charging network for power utilities,34 points,https://news.ycombinator.com/item?id=47442452
Juggalo makeup blocks facial recognition technology (2019),201 points,https://news.ycombinator.com/from?site=consequence.net
“Your frustration is the product”,298 points,https://news.ycombinator.com/from?site=daringfireball.net
Successes and Breakdowns in Everyday Non-Display Smart Glasses Use,10 points,https://news.ycombinator.com/from?site=arxiv.org
Tesla: Failure of the FSD's degradation detection system [pdf],7 points,https://news.ycombinator.com/from?site=nhtsa.gov
World Happiness Report 2026,97 points,https://news.ycombinator.com/from?site=worldhappiness.report
The Shape of Inequalities,78 points,https://news.ycombinator.com/from?site=andreinc.net
macOS 26 breaks custom DNS settings including .internal,256 points,https://news.ycombinator.com/from?site=gist.github.com
I turned Markdown into a protocol for generative UI,49 points,https://news.ycombinator.com/from?site=fabian-kuebler.com
Waymo 13x safer than human drivers,26 points,https://news.ycombinator.com/from?site=twitter.com/waymo
Launch HN: Canary (YC W26) – AI QA that understands your code,22 points,https://news.ycombinator.com/item?id=47441629
Clockwise acquired by Salesforce and shutting down next week,9 points,https://news.ycombinator.com/from?site=getclockwise.com
A rogue AI led to a serious security incident at Meta,80 points,https://news.ycombinator.com/from?site=theverge.com
Prompt Injecting Contributing.md,88 points,https://news.ycombinator.com/from?site=glama.ai
Afroman found not liable in defamation case,1009 points,https://news.ycombinator.com/from?site=nypost.com
Connecticut and the 1 Kilometer Effect,21 points,https://news.ycombinator.com/from?site=alearningaday.blog
No AI in Node.js Core,8 points,https://news.ycombinator.com/from?site=github.com/indutny
