title,points,link
Astral to Join OpenAI,917 points,https://astral.sh/blog/openai
An update on Steam / GOG changes for OpenTTD,121 points,https://www.openttd.org/news/2026/03/19/steam-changes-update
Show HN: Three new Kitten TTS models – smallest less than 25MB,152 points,https://github.com/KittenML/KittenTTS
Noq: n0's new QUIC implementation in Rust,44 points,https://www.iroh.computer/blog/noq-announcement
Return of the Obra Dinn: spherical mapped dithering for a 1bpp first-person game,45 points,https://forums.tigsource.com/index.php?topic=40832.msg1363742#msg1363742
OpenBSD: PF queues break the 4 Gbps barrier,144 points,https://undeadly.org/cgi?action=article;sid=20260319125859
Juggalo Makeup Blocks Facial Recognition Technology (2019),191 points,https://consequence.net/2019/07/juggalo-makeup-facial-recognition/
World Happiness Report 2026,71 points,https://www.worldhappiness.report/ed/2026/
Launch HN: Voltair (YC W26) – Drone and charging network for power utilities,22 points,https://news.ycombinator.com/item?id=47442452
The Shape of Inequalities,71 points,https://www.andreinc.net/2026/03/16/the-shape-of-inequalities/
Scaling Karpathy's Autoresearch: What Happens When the Agent Gets a GPU Cluster,43 points,https://blog.skypilot.co/scaling-autoresearch/
macOS 26 breaks custom DNS settings including .internal,222 points,https://gist.github.com/adamamyl/81b78eced40feae50eae7c4f3bec1f5a
NanoGPT Slowrun: 10x Data Efficiency with Infinite Compute,6 points,https://qlabs.sh/10x
I turned Markdown into a protocol for generative UI,33 points,https://fabian-kuebler.com/posts/markdown-agentic-ui/
Prompt Injecting Contributing.md,68 points,https://glama.ai/blog/2026-03-19-open-source-has-a-bot-problem
Show HN: I built a P2P network where AI agents publish formally verified science,6 points,https://news.ycombinator.com/item?id=47444212
A rogue AI led to a serious security incident at Meta,22 points,https://www.theverge.com/ai-artificial-intelligence/897528/meta-rogue-ai-agent-security-incident
Launch HN: Canary (YC W26) – AI QA that understands your code,18 points,https://news.ycombinator.com/item?id=47441629
Afroman found not liable in defamation case,950 points,https://nypost.com/2026/03/18/us-news/afroman-found-not-liable-in-bizarre-ohio-defamation-case/
What if Python was natively distributable?,44 points,https://medium.com/@bzurak/what-if-python-was-natively-distributable-3bfae485a408
Hyper-optimized reverse geocoding API,43 points,https://github.com/traccar/traccar-geocoder
4Chan mocks £520k fine for UK online safety breaches,90 points,https://www.bbc.com/news/articles/c624330lg1ko
How to Not Pay Your Taxes,79 points,https://taylor.town/succession-000
Consensus Board Game,62 points,https://matklad.github.io/2026/03/19/consensus-board-game.html
Connecticut and the 1 Kilometer Effect,13 points,https://alearningaday.blog/2026/03/19/connecticut-and-the-1-kilometer-effect/
Show HN: Dumped Wix for an AI Edge agent so I never have to hire junior staff,10 points,https://news.ycombinator.com/item?id=47441587
"Conway's Game of Life, in real life",297 points,https://lcamtuf.substack.com/p/conways-game-of-life-in-real-life
Ramtrack.eu – RAM Price Intelligence,63 points,https://ramtrack.eu
Monuses and Heaps,14 points,https://doisinkidney.com/posts/2026-03-03-monus-heaps.html
"Eniac, the First General-Purpose Digital Computer, Turns 80",100 points,https://spectrum.ieee.org/eniac-80-ieee-milestone
