title,points,link
Astral to Join OpenAI,975 points,https://astral.sh/blog/openai
Anthropic takes legal action against OpenCode,54 points,https://github.com/anomalyco/opencode/pull/18186
An update on Steam / GOG changes for OpenTTD,175 points,https://www.openttd.org/news/2026/03/19/steam-changes-update
Show HN: Three new Kitten TTS models – smallest less than 25MB,181 points,https://github.com/KittenML/KittenTTS
Noq: n0's new QUIC implementation in Rust,70 points,https://www.iroh.computer/blog/noq-announcement
NanoGPT Slowrun: 10x Data Efficiency with Infinite Compute,29 points,https://qlabs.sh/10x
Return of the Obra Dinn: spherical mapped dithering for a 1bpp first-person game,78 points,https://forums.tigsource.com/index.php?topic=40832.msg1363742#msg1363742
Google details new 24-hour process to sideload unverified Android apps,107 points,https://arstechnica.com/gadgets/2026/03/google-details-new-24-hour-process-to-sideload-unverified-android-apps/
OpenBSD: PF queues break the 4 Gbps barrier,153 points,https://undeadly.org/cgi?action=article;sid=20260319125859
Juggalo makeup blocks facial recognition technology (2019),196 points,https://consequence.net/2019/07/juggalo-makeup-facial-recognition/
Scaling Karpathy's Autoresearch: What Happens When the Agent Gets a GPU Cluster,56 points,https://blog.skypilot.co/scaling-autoresearch/
Launch HN: Voltair (YC W26) – Drone and charging network for power utilities,29 points,https://news.ycombinator.com/item?id=47442452
4Chan mocks £520k fine for UK online safety breaches,118 points,https://www.bbc.com/news/articles/c624330lg1ko
World Happiness Report 2026,89 points,https://www.worldhappiness.report/ed/2026/
From Oscilloscope to Wireshark: A UDP Story,8 points,https://www.mattkeeter.com/blog/2022-08-11-udp/
The Shape of Inequalities,77 points,https://www.andreinc.net/2026/03/16/the-shape-of-inequalities/
macOS 26 breaks custom DNS settings including .internal,241 points,https://gist.github.com/adamamyl/81b78eced40feae50eae7c4f3bec1f5a
I turned Markdown into a protocol for generative UI,46 points,https://fabian-kuebler.com/posts/markdown-agentic-ui/
Launch HN: Canary (YC W26) – AI QA that understands your code,21 points,https://news.ycombinator.com/item?id=47441629
Prompt Injecting Contributing.md,78 points,https://glama.ai/blog/2026-03-19-open-source-has-a-bot-problem
How to defer US taxes,99 points,https://taylor.town/succession-000
A rogue AI led to a serious security incident at Meta,57 points,https://www.theverge.com/ai-artificial-intelligence/897528/meta-rogue-ai-agent-security-incident
Connecticut and the 1 Kilometer Effect,19 points,https://alearningaday.blog/2026/03/19/connecticut-and-the-1-kilometer-effect/
Afroman found not liable in defamation case,987 points,https://nypost.com/2026/03/18/us-news/afroman-found-not-liable-in-bizarre-ohio-defamation-case/
Show HN: I built a P2P network where AI agents publish formally verified science,16 points,https://news.ycombinator.com/item?id=47444212
What if Python was natively distributable?,49 points,https://medium.com/@bzurak/what-if-python-was-natively-distributable-3bfae485a408
Hyper-optimized reverse geocoding API,48 points,https://github.com/traccar/traccar-geocoder
Consensus Board Game,65 points,https://matklad.github.io/2026/03/19/consensus-board-game.html
"Conway's Game of Life, in real life",303 points,https://lcamtuf.substack.com/p/conways-game-of-life-in-real-life
Ramtrack.eu – RAM Price Intelligence,71 points,https://ramtrack.eu
